Layer,	Cycles,	% Utilization, MACs
Conv1,	7174,	83.07662551237541,	332667,
Conv2,	91020,	84.66906311799605,	3484800,
Conv3,	8711,	98.35265755940765,	401408,
Conv4,	42773,	91.62593261227877,	1742400,
Conv5,	5683,	95.79007566426183,	200704,
Conv6,	79236,	99.11545888232621,	3359232,
Conv7,	12711,	98.24168043426953,	401408,
Conv8,	20385,	95.35906456953643,	839808,
Conv9,	4361,	89.42616372391653,	100352,
Conv10,	39816,	90.51198010849909,	1557504,
Conv11,	8722,	89.42616372391653,	200704,
Conv12,	12258,	70.35724118942731,	389376,
Conv13,	3460,	77.3753612716763,	50176,
Conv14,	23616,	63.71951219512195,	663552,
Conv15,	6920,	77.3753612716763,	100352,
Conv16,	23616,	63.71951219512195,	663552,
Conv17,	6920,	77.3753612716763,	100352,
Conv18,	23616,	63.71951219512195,	663552,
Conv19,	6920,	77.3753612716763,	100352,
Conv20,	23616,	63.71951219512195,	663552,
Conv21,	6920,	77.3753612716763,	100352,
Conv22,	23616,	63.71951219512195,	663552,
Conv23,	6920,	77.3753612716763,	100352,
Conv24,	10512,	28.125,	165888,
Conv25,	5312,	38.28125,	25088,
Conv26,	19080,	7.03125,	82944,
Conv27,	10624,	38.28125,	50176,
